"geoid","year","measure","measure_type","region_type","value"
51059420501,2022,"at_risk_pc_original","percent","tract",0.2189
51059420501,2022,"insecure_pc_original","percent","tract",0.1291
51059420501,2022,"secure_pc_original","percent","tract",0.652
51059420502,2022,"at_risk_original","count","tract",221
51059420502,2022,"food_insecure_original","count","tract",215
51059420502,2022,"food_secure_original","count","tract",908
51059420502,2022,"at_risk_pc_original","percent","tract",0.1643
51059420502,2022,"insecure_pc_original","percent","tract",0.16
51059420502,2022,"secure_pc_original","percent","tract",0.6757
51059420503,2022,"at_risk_original","count","tract",288
51059420503,2022,"food_insecure_original","count","tract",411
51059420503,2022,"food_secure_original","count","tract",828
51059420503,2022,"at_risk_pc_original","percent","tract",0.1888
51059420503,2022,"insecure_pc_original","percent","tract",0.2694
51059420503,2022,"secure_pc_original","percent","tract",0.5418
51059420600,2022,"at_risk_original","count","tract",429
51059420600,2022,"food_insecure_original","count","tract",416
51059420600,2022,"food_secure_original","count","tract",1112
51059420600,2022,"at_risk_pc_original","percent","tract",0.2193
51059420600,2022,"insecure_pc_original","percent","tract",0.2127
51059420600,2022,"secure_pc_original","percent","tract",0.568
51059420700,2022,"at_risk_original","count","tract",487
51059420700,2022,"food_insecure_original","count","tract",219
51059420700,2022,"food_secure_original","count","tract",603
51059420700,2022,"at_risk_pc_original","percent","tract",0.3723
51059420700,2022,"insecure_pc_original","percent","tract",0.1673
51059420700,2022,"secure_pc_original","percent","tract",0.4604
51059420800,2022,"at_risk_original","count","tract",327
51059420800,2022,"food_insecure_original","count","tract",196
51059420800,2022,"food_secure_original","count","tract",714
51059420800,2022,"at_risk_pc_original","percent","tract",0.2645
51059420800,2022,"insecure_pc_original","percent","tract",0.1584
51059420800,2022,"secure_pc_original","percent","tract",0.5771
51059421001,2022,"at_risk_original","count","tract",260
51059421001,2022,"food_insecure_original","count","tract",194
51059421001,2022,"food_secure_original","count","tract",587
51059421001,2022,"at_risk_pc_original","percent","tract",0.2497
51059421001,2022,"insecure_pc_original","percent","tract",0.1868
51059421001,2022,"secure_pc_original","percent","tract",0.5635
51059421002,2022,"at_risk_original","count","tract",445
51059421002,2022,"food_insecure_original","count","tract",439
51059421002,2022,"food_secure_original","count","tract",1210
51059421002,2022,"at_risk_pc_original","percent","tract",0.2126
51059421002,2022,"insecure_pc_original","percent","tract",0.2098
51059421002,2022,"secure_pc_original","percent","tract",0.5777
51059421101,2022,"at_risk_original","count","tract",535
51059421101,2022,"food_insecure_original","count","tract",246
51059421101,2022,"food_secure_original","count","tract",1400
51059421101,2022,"at_risk_pc_original","percent","tract",0.2455
51059421101,2022,"insecure_pc_original","percent","tract",0.1128
51059421101,2022,"secure_pc_original","percent","tract",0.6417
51059421102,2022,"at_risk_original","count","tract",198
51059421102,2022,"food_insecure_original","count","tract",386
51059421102,2022,"food_secure_original","count","tract",839
51059421102,2022,"at_risk_pc_original","percent","tract",0.1396
51059421102,2022,"insecure_pc_original","percent","tract",0.2713
51059421102,2022,"secure_pc_original","percent","tract",0.5891
51059421103,2022,"at_risk_original","count","tract",552
51059421103,2022,"food_insecure_original","count","tract",338
51059421103,2022,"food_secure_original","count","tract",1187
51059421103,2022,"at_risk_pc_original","percent","tract",0.2657
51059421103,2022,"insecure_pc_original","percent","tract",0.163
51059421103,2022,"secure_pc_original","percent","tract",0.5714
51059421200,2022,"at_risk_original","count","tract",193
51059421200,2022,"food_insecure_original","count","tract",82
51059421200,2022,"food_secure_original","count","tract",410
51059421200,2022,"at_risk_pc_original","percent","tract",0.2814
51059421200,2022,"insecure_pc_original","percent","tract",0.1205
51059421200,2022,"secure_pc_original","percent","tract",0.5981
51059421300,2022,"at_risk_original","count","tract",334
51059421300,2022,"food_insecure_original","count","tract",195
51059421300,2022,"food_secure_original","count","tract",883
51059421300,2022,"at_risk_pc_original","percent","tract",0.2366
51059421300,2022,"insecure_pc_original","percent","tract",0.1383
51059421300,2022,"secure_pc_original","percent","tract",0.6251
51059421400,2022,"at_risk_original","count","tract",593
51059421400,2022,"food_insecure_original","count","tract",637
51059421400,2022,"food_secure_original","count","tract",1120
51059421400,2022,"at_risk_pc_original","percent","tract",0.2523
51059421400,2022,"insecure_pc_original","percent","tract",0.2712
51059421400,2022,"secure_pc_original","percent","tract",0.4765
51059421500,2022,"at_risk_original","count","tract",536
51059421500,2022,"food_insecure_original","count","tract",1146
51059421500,2022,"food_secure_original","count","tract",675
51059421500,2022,"at_risk_pc_original","percent","tract",0.2275
51059421500,2022,"insecure_pc_original","percent","tract",0.4861
51059421500,2022,"secure_pc_original","percent","tract",0.2864
51059421600,2022,"at_risk_original","count","tract",402
51059421600,2022,"food_insecure_original","count","tract",944
51059421600,2022,"food_secure_original","count","tract",738
51059421600,2022,"at_risk_pc_original","percent","tract",0.1928
51059421600,2022,"insecure_pc_original","percent","tract",0.4528
51059421600,2022,"secure_pc_original","percent","tract",0.3544
51059421701,2022,"at_risk_original","count","tract",399
51059421701,2022,"food_insecure_original","count","tract",590
51059421701,2022,"food_secure_original","count","tract",597
51059421701,2022,"at_risk_pc_original","percent","tract",0.2514
51059421701,2022,"insecure_pc_original","percent","tract",0.3721
51059421701,2022,"secure_pc_original","percent","tract",0.3766
51059421702,2022,"at_risk_original","count","tract",428
51059421702,2022,"food_insecure_original","count","tract",198
51059421702,2022,"food_secure_original","count","tract",701
51059421702,2022,"at_risk_pc_original","percent","tract",0.3225
51059421702,2022,"insecure_pc_original","percent","tract",0.1496
51059421702,2022,"secure_pc_original","percent","tract",0.5279
51059421800,2022,"at_risk_original","count","tract",535
51059421800,2022,"food_insecure_original","count","tract",772
51059421800,2022,"food_secure_original","count","tract",1403
51059421800,2022,"at_risk_pc_original","percent","tract",0.1974
51059421800,2022,"insecure_pc_original","percent","tract",0.285
51059421800,2022,"secure_pc_original","percent","tract",0.5177
51059421900,2022,"at_risk_original","count","tract",223
51059421900,2022,"food_insecure_original","count","tract",371
51059421900,2022,"food_secure_original","count","tract",256
51059421900,2022,"at_risk_pc_original","percent","tract",0.2624
51059421900,2022,"insecure_pc_original","percent","tract",0.4361
51059421900,2022,"secure_pc_original","percent","tract",0.3015
51059422000,2022,"at_risk_original","count","tract",357
51059422000,2022,"food_insecure_original","count","tract",333
51059422000,2022,"food_secure_original","count","tract",530
51059422000,2022,"at_risk_pc_original","percent","tract",0.2928
51059422000,2022,"insecure_pc_original","percent","tract",0.2731
51059422000,2022,"secure_pc_original","percent","tract",0.4342
51059422101,2022,"at_risk_original","count","tract",599
51059422101,2022,"food_insecure_original","count","tract",680
51059422101,2022,"food_secure_original","count","tract",1108
51059422101,2022,"at_risk_pc_original","percent","tract",0.2509
51059422101,2022,"insecure_pc_original","percent","tract",0.2851
51059422101,2022,"secure_pc_original","percent","tract",0.464
51059422102,2022,"at_risk_original","count","tract",629
51059422102,2022,"food_insecure_original","count","tract",469
51059422102,2022,"food_secure_original","count","tract",976
51059422102,2022,"at_risk_pc_original","percent","tract",0.3033
51059422102,2022,"insecure_pc_original","percent","tract",0.2263
51059422102,2022,"secure_pc_original","percent","tract",0.4704
51059422201,2022,"at_risk_original","count","tract",486
51059422201,2022,"food_insecure_original","count","tract",276
51059422201,2022,"food_secure_original","count","tract",576
51059422201,2022,"at_risk_pc_original","percent","tract",0.363
51059422201,2022,"insecure_pc_original","percent","tract",0.2064
51059422201,2022,"secure_pc_original","percent","tract",0.4306
51059422202,2022,"at_risk_original","count","tract",622
51059422202,2022,"food_insecure_original","count","tract",776
51059422202,2022,"food_secure_original","count","tract",942
51059422202,2022,"at_risk_pc_original","percent","tract",0.2658
51059422202,2022,"insecure_pc_original","percent","tract",0.3317
51059422202,2022,"secure_pc_original","percent","tract",0.4025
51059422301,2022,"at_risk_original","count","tract",276
51059422301,2022,"food_insecure_original","count","tract",158
51059422301,2022,"food_secure_original","count","tract",820
51059422301,2022,"at_risk_pc_original","percent","tract",0.2205
51059422301,2022,"insecure_pc_original","percent","tract",0.1259
51059422301,2022,"secure_pc_original","percent","tract",0.6536
51059422302,2022,"at_risk_original","count","tract",609
51059422302,2022,"food_insecure_original","count","tract",659
51059422302,2022,"food_secure_original","count","tract",1491
51059422302,2022,"at_risk_pc_original","percent","tract",0.2207
51059422302,2022,"insecure_pc_original","percent","tract",0.2388
51059422302,2022,"secure_pc_original","percent","tract",0.5405
51059422401,2022,"at_risk_original","count","tract",270
51059422401,2022,"food_insecure_original","count","tract",158
51059422401,2022,"food_secure_original","count","tract",747
51059422401,2022,"at_risk_pc_original","percent","tract",0.2298
51059422401,2022,"insecure_pc_original","percent","tract",0.1348
51059422401,2022,"secure_pc_original","percent","tract",0.6354
51059422402,2022,"at_risk_original","count","tract",381
51059422402,2022,"food_insecure_original","count","tract",521
51059422402,2022,"food_secure_original","count","tract",1250
51059422402,2022,"at_risk_pc_original","percent","tract",0.177
51059422402,2022,"insecure_pc_original","percent","tract",0.2422
51059422402,2022,"secure_pc_original","percent","tract",0.5808
51059422403,2022,"at_risk_original","count","tract",272
51059422403,2022,"food_insecure_original","count","tract",81
51059422403,2022,"food_secure_original","count","tract",606
51059422403,2022,"at_risk_pc_original","percent","tract",0.2834
51059422403,2022,"insecure_pc_original","percent","tract",0.0847
51059422403,2022,"secure_pc_original","percent","tract",0.6319
51059430101,2022,"at_risk_original","count","tract",246
51059430101,2022,"food_insecure_original","count","tract",169
51059430101,2022,"food_secure_original","count","tract",1087
51059430101,2022,"at_risk_pc_original","percent","tract",0.164
51059430101,2022,"insecure_pc_original","percent","tract",0.1127
51059430101,2022,"secure_pc_original","percent","tract",0.7232
51059430102,2022,"at_risk_original","count","tract",294
51059430102,2022,"food_insecure_original","count","tract",244
51059430102,2022,"food_secure_original","count","tract",502
51059430102,2022,"at_risk_pc_original","percent","tract",0.283
51059430102,2022,"insecure_pc_original","percent","tract",0.2346
51059430102,2022,"secure_pc_original","percent","tract",0.4824
51059430201,2022,"at_risk_original","count","tract",384
51059430201,2022,"food_insecure_original","count","tract",248
51059430201,2022,"food_secure_original","count","tract",771
51059430201,2022,"at_risk_pc_original","percent","tract",0.2737
51059430201,2022,"insecure_pc_original","percent","tract",0.1768
51059430201,2022,"secure_pc_original","percent","tract",0.5495
51059430202,2022,"at_risk_original","count","tract",430
51059430202,2022,"food_insecure_original","count","tract",306
51059430202,2022,"food_secure_original","count","tract",945
51059430202,2022,"at_risk_pc_original","percent","tract",0.2561
51059430202,2022,"insecure_pc_original","percent","tract",0.1819
51059430202,2022,"secure_pc_original","percent","tract",0.5619
51059430203,2022,"at_risk_original","count","tract",183
51059430203,2022,"food_insecure_original","count","tract",151
51059430203,2022,"food_secure_original","count","tract",547
51059430203,2022,"at_risk_pc_original","percent","tract",0.2078
51059430203,2022,"insecure_pc_original","percent","tract",0.1719
51059430203,2022,"secure_pc_original","percent","tract",0.6202
51059430400,2022,"at_risk_original","count","tract",435
51059430400,2022,"food_insecure_original","count","tract",429
51059430400,2022,"food_secure_original","count","tract",1332
51059430400,2022,"at_risk_pc_original","percent","tract",0.1982
51059430400,2022,"insecure_pc_original","percent","tract",0.1954
51059430400,2022,"secure_pc_original","percent","tract",0.6064
51059430500,2022,"at_risk_original","count","tract",120
51059430500,2022,"food_insecure_original","count","tract",98
51059430500,2022,"food_secure_original","count","tract",330
51059430500,2022,"at_risk_pc_original","percent","tract",0.2188
51059430500,2022,"insecure_pc_original","percent","tract",0.1796
51059430500,2022,"secure_pc_original","percent","tract",0.6015
51059430600,2022,"at_risk_original","count","tract",402
51059430600,2022,"food_insecure_original","count","tract",641
51059430600,2022,"food_secure_original","count","tract",798
51059430600,2022,"at_risk_pc_original","percent","tract",0.2182
51059430600,2022,"insecure_pc_original","percent","tract",0.3483
51059430600,2022,"secure_pc_original","percent","tract",0.4335
51059430700,2022,"at_risk_original","count","tract",221
51059430700,2022,"food_insecure_original","count","tract",186
51059430700,2022,"food_secure_original","count","tract",548
51059430700,2022,"at_risk_pc_original","percent","tract",0.2316
51059430700,2022,"insecure_pc_original","percent","tract",0.1948
51059430700,2022,"secure_pc_original","percent","tract",0.5736
51059430801,2022,"at_risk_original","count","tract",310
51059430801,2022,"food_insecure_original","count","tract",288
51059430801,2022,"food_secure_original","count","tract",764
51059430801,2022,"at_risk_pc_original","percent","tract",0.2276
51059430801,2022,"insecure_pc_original","percent","tract",0.2118
51059430801,2022,"secure_pc_original","percent","tract",0.5606
51059430802,2022,"at_risk_original","count","tract",367
51059430802,2022,"food_insecure_original","count","tract",471
51059430802,2022,"food_secure_original","count","tract",828
51059430802,2022,"at_risk_pc_original","percent","tract",0.2202
51059430802,2022,"insecure_pc_original","percent","tract",0.2828
51059430802,2022,"secure_pc_original","percent","tract",0.4971
51059430901,2022,"at_risk_original","count","tract",348
51059430901,2022,"food_insecure_original","count","tract",350
51059430901,2022,"food_secure_original","count","tract",691
51059430901,2022,"at_risk_pc_original","percent","tract",0.2509
51059430901,2022,"insecure_pc_original","percent","tract",0.2518
51059430901,2022,"secure_pc_original","percent","tract",0.4973
51059430902,2022,"at_risk_original","count","tract",310
51059430902,2022,"food_insecure_original","count","tract",324
51059430902,2022,"food_secure_original","count","tract",464
51059430902,2022,"at_risk_pc_original","percent","tract",0.2822
51059430902,2022,"insecure_pc_original","percent","tract",0.2953
51059430902,2022,"secure_pc_original","percent","tract",0.4225
51059431001,2022,"at_risk_original","count","tract",577
51059431001,2022,"food_insecure_original","count","tract",497
51059431001,2022,"food_secure_original","count","tract",819
51059431001,2022,"at_risk_pc_original","percent","tract",0.3048
51059431001,2022,"insecure_pc_original","percent","tract",0.2624
51059431001,2022,"secure_pc_original","percent","tract",0.4328
51059431002,2022,"at_risk_original","count","tract",199
51059431002,2022,"food_insecure_original","count","tract",207
51059431002,2022,"food_secure_original","count","tract",312
51059431002,2022,"at_risk_pc_original","percent","tract",0.2776
51059431002,2022,"insecure_pc_original","percent","tract",0.2886
51059431002,2022,"secure_pc_original","percent","tract",0.4338
51059431300,2022,"at_risk_original","count","tract",353
51059431300,2022,"food_insecure_original","count","tract",213
51059431300,2022,"food_secure_original","count","tract",740
51059431300,2022,"at_risk_pc_original","percent","tract",0.2702
51059431300,2022,"insecure_pc_original","percent","tract",0.1636
51059431300,2022,"secure_pc_original","percent","tract",0.5662
51059431400,2022,"at_risk_original","count","tract",374
51059431400,2022,"food_insecure_original","count","tract",318
51059431400,2022,"food_secure_original","count","tract",757
51059431400,2022,"at_risk_pc_original","percent","tract",0.2582
51059431400,2022,"insecure_pc_original","percent","tract",0.2195
51059431400,2022,"secure_pc_original","percent","tract",0.5223
51059431500,2022,"at_risk_original","count","tract",442
51059431500,2022,"food_insecure_original","count","tract",310
51059431500,2022,"food_secure_original","count","tract",1243
51059431500,2022,"at_risk_pc_original","percent","tract",0.2215
51059431500,2022,"insecure_pc_original","percent","tract",0.1554
51059431500,2022,"secure_pc_original","percent","tract",0.6231
51059431601,2022,"at_risk_original","count","tract",156
51059431601,2022,"food_insecure_original","count","tract",261
51059431601,2022,"food_secure_original","count","tract",1056
51059431601,2022,"at_risk_pc_original","percent","tract",0.1062
51059431601,2022,"insecure_pc_original","percent","tract",0.1772
51059431601,2022,"secure_pc_original","percent","tract",0.7166
51059431602,2022,"at_risk_original","count","tract",322
51059431602,2022,"food_insecure_original","count","tract",625
51059431602,2022,"food_secure_original","count","tract",1022
51059431602,2022,"at_risk_pc_original","percent","tract",0.1637
51059431602,2022,"insecure_pc_original","percent","tract",0.3173
51059431602,2022,"secure_pc_original","percent","tract",0.5189
51059431801,2022,"at_risk_original","count","tract",370
51059431801,2022,"food_insecure_original","count","tract",338
51059431801,2022,"food_secure_original","count","tract",647
51059431801,2022,"at_risk_pc_original","percent","tract",0.273
51059431801,2022,"insecure_pc_original","percent","tract",0.2495
51059431801,2022,"secure_pc_original","percent","tract",0.4774
51059431802,2022,"at_risk_original","count","tract",252
51059431802,2022,"food_insecure_original","count","tract",185
51059431802,2022,"food_secure_original","count","tract",556
51059431802,2022,"at_risk_pc_original","percent","tract",0.2536
51059431802,2022,"insecure_pc_original","percent","tract",0.1865
51059431802,2022,"secure_pc_original","percent","tract",0.5599
51059431900,2022,"at_risk_original","count","tract",170
51059431900,2022,"food_insecure_original","count","tract",99
51059431900,2022,"food_secure_original","count","tract",755
51059431900,2022,"at_risk_pc_original","percent","tract",0.1661
51059431900,2022,"insecure_pc_original","percent","tract",0.0971
51059431900,2022,"secure_pc_original","percent","tract",0.7368
51059432000,2022,"at_risk_original","count","tract",267
51059432000,2022,"food_insecure_original","count","tract",297
51059432000,2022,"food_secure_original","count","tract",605
51059432000,2022,"at_risk_pc_original","percent","tract",0.2286
51059432000,2022,"insecure_pc_original","percent","tract",0.254
51059432000,2022,"secure_pc_original","percent","tract",0.5174
51059432100,2022,"at_risk_original","count","tract",320
51059432100,2022,"food_insecure_original","count","tract",297
51059432100,2022,"food_secure_original","count","tract",847
51059432100,2022,"at_risk_pc_original","percent","tract",0.2188
51059432100,2022,"insecure_pc_original","percent","tract",0.2032
51059432100,2022,"secure_pc_original","percent","tract",0.578
51059432201,2022,"at_risk_original","count","tract",227
51059432201,2022,"food_insecure_original","count","tract",325
51059432201,2022,"food_secure_original","count","tract",471
51059432201,2022,"at_risk_pc_original","percent","tract",0.2223
51059432201,2022,"insecure_pc_original","percent","tract",0.3175
51059432201,2022,"secure_pc_original","percent","tract",0.4602
51059432202,2022,"at_risk_original","count","tract",390
51059432202,2022,"food_insecure_original","count","tract",216
51059432202,2022,"food_secure_original","count","tract",905
51059432202,2022,"at_risk_pc_original","percent","tract",0.2582
51059432202,2022,"insecure_pc_original","percent","tract",0.1432
51059432202,2022,"secure_pc_original","percent","tract",0.5986
51059432300,2022,"at_risk_original","count","tract",391
51059432300,2022,"food_insecure_original","count","tract",228
51059432300,2022,"food_secure_original","count","tract",1105
51059432300,2022,"at_risk_pc_original","percent","tract",0.2267
51059432300,2022,"insecure_pc_original","percent","tract",0.1325
51059432300,2022,"secure_pc_original","percent","tract",0.6408
51059432401,2022,"at_risk_original","count","tract",180
51059432401,2022,"food_insecure_original","count","tract",123
51059432401,2022,"food_secure_original","count","tract",708
51059432401,2022,"at_risk_pc_original","percent","tract",0.1784
51059432401,2022,"insecure_pc_original","percent","tract",0.1224
51059432401,2022,"secure_pc_original","percent","tract",0.6992
51059432402,2022,"at_risk_original","count","tract",392
51059432402,2022,"food_insecure_original","count","tract",156
51059432402,2022,"food_secure_original","count","tract",1228
51059432402,2022,"at_risk_pc_original","percent","tract",0.2207
51059432402,2022,"insecure_pc_original","percent","tract",0.088
51059432402,2022,"secure_pc_original","percent","tract",0.6913
51059432500,2022,"at_risk_original","count","tract",477
51059432500,2022,"food_insecure_original","count","tract",164
51059432500,2022,"food_secure_original","count","tract",1228
51059432500,2022,"at_risk_pc_original","percent","tract",0.2553
51059432500,2022,"insecure_pc_original","percent","tract",0.0877
51059432500,2022,"secure_pc_original","percent","tract",0.657
51059432600,2022,"at_risk_original","count","tract",408
51059432600,2022,"food_insecure_original","count","tract",150
51059432600,2022,"food_secure_original","count","tract",1017
51059432600,2022,"at_risk_pc_original","percent","tract",0.2593
51059432600,2022,"insecure_pc_original","percent","tract",0.0957
51059432600,2022,"secure_pc_original","percent","tract",0.6449
51059432701,2022,"at_risk_original","count","tract",246
51059432701,2022,"food_insecure_original","count","tract",174
51059432701,2022,"food_secure_original","count","tract",661
51059432701,2022,"at_risk_pc_original","percent","tract",0.2278
51059432701,2022,"insecure_pc_original","percent","tract",0.161
51059432701,2022,"secure_pc_original","percent","tract",0.6112
51059432702,2022,"at_risk_original","count","tract",389
51059432702,2022,"food_insecure_original","count","tract",373
51059432702,2022,"food_secure_original","count","tract",835
51059432702,2022,"at_risk_pc_original","percent","tract",0.2436
51059432702,2022,"insecure_pc_original","percent","tract",0.2336
51059432702,2022,"secure_pc_original","percent","tract",0.5228
51059432800,2022,"at_risk_original","count","tract",149
51059432800,2022,"food_insecure_original","count","tract",174
51059432800,2022,"food_secure_original","count","tract",423
51059432800,2022,"at_risk_pc_original","percent","tract",0.1998
51059432800,2022,"insecure_pc_original","percent","tract",0.2334
51059432800,2022,"secure_pc_original","percent","tract",0.5668
51059440100,2022,"at_risk_original","count","tract",439
51059440100,2022,"food_insecure_original","count","tract",381
51059440100,2022,"food_secure_original","count","tract",1832
51059440100,2022,"at_risk_pc_original","percent","tract",0.1655
51059440100,2022,"insecure_pc_original","percent","tract",0.1438
51059440100,2022,"secure_pc_original","percent","tract",0.6906
51059440201,2022,"at_risk_original","count","tract",199
51059440201,2022,"food_insecure_original","count","tract",258
51059440201,2022,"food_secure_original","count","tract",1570
51059440201,2022,"at_risk_pc_original","percent","tract",0.0985
51059440201,2022,"insecure_pc_original","percent","tract",0.1273
51059440201,2022,"secure_pc_original","percent","tract",0.7743
51059440202,2022,"at_risk_original","count","tract",495
51059440202,2022,"food_insecure_original","count","tract",722
51059440202,2022,"food_secure_original","count","tract",1014
51059440202,2022,"at_risk_pc_original","percent","tract",0.222
51059440202,2022,"insecure_pc_original","percent","tract",0.3235
51059440202,2022,"secure_pc_original","percent","tract",0.4545
51059440300,2022,"at_risk_original","count","tract",143
51059440300,2022,"food_insecure_original","count","tract",56
51059440300,2022,"food_secure_original","count","tract",709
51059440300,2022,"at_risk_pc_original","percent","tract",0.1581
51059440300,2022,"insecure_pc_original","percent","tract",0.0623
